"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Sweden (SE)","01.11.2022 00:00 - 01.11.2022 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7491","n/e","5702","798","n/e","n/e","n/e","n/e","3317"
"Sweden (SE)","01.11.2022 01:00 - 01.11.2022 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7447","n/e","5702","788","n/e","n/e","n/e","n/e","3100"
"Sweden (SE)","01.11.2022 02:00 - 01.11.2022 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7451","n/e","5703","788","n/e","n/e","n/e","n/e","2755"
"Sweden (SE)","01.11.2022 03:00 - 01.11.2022 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7538","n/e","5703","770","n/e","n/e","n/e","n/e","2435"
"Sweden (SE)","01.11.2022 04:00 - 01.11.2022 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7783","n/e","5706","780","n/e","n/e","n/e","n/e","2274"
"Sweden (SE)","01.11.2022 05:00 - 01.11.2022 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8918","n/e","5705","810","n/e","n/e","n/e","n/e","2130"
"Sweden (SE)","01.11.2022 06:00 - 01.11.2022 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9408","n/e","5704","834","n/e","n/e","n/e","n/e","1983"
"Sweden (SE)","01.11.2022 07:00 - 01.11.2022 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10032","n/e","5700","903","n/e","n/e","n/e","n/e","1834"
"Sweden (SE)","01.11.2022 08:00 - 01.11.2022 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10039","n/e","5696","928","n/e","n/e","n/e","n/e","1725"
"Sweden (SE)","01.11.2022 09:00 - 01.11.2022 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9940","n/e","5696","942","n/e","n/e","n/e","n/e","1787"
"Sweden (SE)","01.11.2022 10:00 - 01.11.2022 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9969","n/e","5696","941","n/e","n/e","n/e","n/e","1785"
"Sweden (SE)","01.11.2022 11:00 - 01.11.2022 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9498","n/e","5699","923","n/e","n/e","n/e","n/e","1828"
"Sweden (SE)","01.11.2022 12:00 - 01.11.2022 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8896","n/e","5697","928","n/e","n/e","n/e","n/e","1808"
"Sweden (SE)","01.11.2022 13:00 - 01.11.2022 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9187","n/e","5686","929","n/e","n/e","n/e","n/e","1864"
"Sweden (SE)","01.11.2022 14:00 - 01.11.2022 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9867","n/e","5699","938","n/e","n/e","n/e","n/e","2027"
"Sweden (SE)","01.11.2022 15:00 - 01.11.2022 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10034","n/e","5696","953","n/e","n/e","n/e","n/e","2382"
"Sweden (SE)","01.11.2022 16:00 - 01.11.2022 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10045","n/e","5697","1005","n/e","n/e","n/e","n/e","2873"
"Sweden (SE)","01.11.2022 17:00 - 01.11.2022 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9920","n/e","5696","1027","n/e","n/e","n/e","n/e","3407"
"Sweden (SE)","01.11.2022 18:00 - 01.11.2022 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9634","n/e","5697","1022","n/e","n/e","n/e","n/e","3913"
