"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Sweden (SE)","01.11.2022 19:00 - 01.11.2022 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9124","n/e","5698","999","n/e","n/e","n/e","n/e","4273"
"Sweden (SE)","01.11.2022 20:00 - 01.11.2022 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8499","n/e","5701","999","n/e","n/e","n/e","n/e","4414"
"Sweden (SE)","01.11.2022 21:00 - 01.11.2022 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7753","n/e","5700","928","n/e","n/e","n/e","n/e","4492"
"Sweden (SE)","01.11.2022 22:00 - 01.11.2022 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6811","n/e","5701","826","n/e","n/e","n/e","n/e","4697"
"Sweden (SE)","01.11.2022 23:00 - 02.11.2022 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6043","n/e","5701","792","n/e","n/e","n/e","n/e","4858"
"Sweden (SE)","02.11.2022 00:00 - 02.11.2022 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5439","n/e","5700","747","n/e","n/e","n/e","n/e","4982"
"Sweden (SE)","02.11.2022 01:00 - 02.11.2022 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4980","n/e","5701","725","n/e","n/e","n/e","n/e","5005"
"Sweden (SE)","02.11.2022 02:00 - 02.11.2022 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4279","n/e","5700","718","n/e","n/e","n/e","n/e","5027"
"Sweden (SE)","02.11.2022 03:00 - 02.11.2022 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4088","n/e","5701","715","n/e","n/e","n/e","n/e","5078"
"Sweden (SE)","02.11.2022 04:00 - 02.11.2022 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4655","n/e","5701","748","n/e","n/e","n/e","n/e","5008"
"Sweden (SE)","02.11.2022 05:00 - 02.11.2022 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5919","n/e","5699","774","n/e","n/e","n/e","n/e","5007"
"Sweden (SE)","02.11.2022 06:00 - 02.11.2022 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7275","n/e","5701","840","n/e","n/e","n/e","n/e","4881"
"Sweden (SE)","02.11.2022 07:00 - 02.11.2022 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8347","n/e","5700","886","n/e","n/e","n/e","n/e","4694"
"Sweden (SE)","02.11.2022 08:00 - 02.11.2022 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8751","n/e","5699","998","n/e","n/e","n/e","n/e","4522"
"Sweden (SE)","02.11.2022 09:00 - 02.11.2022 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8802","n/e","5698","1115","n/e","n/e","n/e","n/e","4413"
"Sweden (SE)","02.11.2022 10:00 - 02.11.2022 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8930","n/e","5697","1166","n/e","n/e","n/e","n/e","4222"
"Sweden (SE)","02.11.2022 11:00 - 02.11.2022 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8807","n/e","5697","1113","n/e","n/e","n/e","n/e","4100"
"Sweden (SE)","02.11.2022 12:00 - 02.11.2022 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8748","n/e","5697","869","n/e","n/e","n/e","n/e","3965"
"Sweden (SE)","02.11.2022 13:00 - 02.11.2022 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9390","n/e","5634","866","n/e","n/e","n/e","n/e","3810"
"Sweden (SE)","02.11.2022 14:00 - 02.11.2022 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9585","n/e","5616","902","n/e","n/e","n/e","n/e","3700"
"Sweden (SE)","02.11.2022 15:00 - 02.11.2022 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9751","n/e","5693","947","n/e","n/e","n/e","n/e","3642"
"Sweden (SE)","02.11.2022 16:00 - 02.11.2022 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9848","n/e","5635","979","n/e","n/e","n/e","n/e","3634"
"Sweden (SE)","02.11.2022 17:00 - 02.11.2022 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9723","n/e","5696","1009","n/e","n/e","n/e","n/e","3702"
"Sweden (SE)","02.11.2022 18:00 - 02.11.2022 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9691","n/e","5697","1010","n/e","n/e","n/e","n/e","3746"
"Sweden (SE)","02.11.2022 19:00 - 02.11.2022 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9535","n/e","5698","1016","n/e","n/e","n/e","n/e","3665"
"Sweden (SE)","02.11.2022 20:00 - 02.11.2022 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9364","n/e","5697","964","n/e","n/e","n/e","n/e","3675"
"Sweden (SE)","02.11.2022 21:00 - 02.11.2022 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9037","n/e","5698","884","n/e","n/e","n/e","n/e","3680"
"Sweden (SE)","02.11.2022 22:00 - 02.11.2022 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8576","n/e","5697","822","n/e","n/e","n/e","n/e","3686"
"Sweden (SE)","02.11.2022 23:00 - 03.11.2022 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8035","n/e","5697","797","n/e","n/e","n/e","n/e","3601"
"Sweden (SE)","03.11.2022 00:00 - 03.11.2022 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7421","n/e","5691","749","n/e","n/e","n/e","n/e","3464"
"Sweden (SE)","03.11.2022 01:00 - 03.11.2022 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7017","n/e","5691","749","n/e","n/e","n/e","n/e","3385"
"Sweden (SE)","03.11.2022 02:00 - 03.11.2022 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6790","n/e","5692","753","n/e","n/e","n/e","n/e","3394"
"Sweden (SE)","03.11.2022 03:00 - 03.11.2022 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6680","n/e","5693","756","n/e","n/e","n/e","n/e","3359"
"Sweden (SE)","03.11.2022 04:00 - 03.11.2022 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6812","n/e","5693","758","n/e","n/e","n/e","n/e","3535"
"Sweden (SE)","03.11.2022 05:00 - 03.11.2022 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7542","n/e","5694","804","n/e","n/e","n/e","n/e","3739"
"Sweden (SE)","03.11.2022 06:00 - 03.11.2022 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8586","n/e","5694","849","n/e","n/e","n/e","n/e","3885"
"Sweden (SE)","03.11.2022 07:00 - 03.11.2022 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9146","n/e","5694","931","n/e","n/e","n/e","n/e","4133"
"Sweden (SE)","03.11.2022 08:00 - 03.11.2022 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9083","n/e","5693","960","n/e","n/e","n/e","n/e","4466"
"Sweden (SE)","03.11.2022 09:00 - 03.11.2022 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8924","n/e","5694","971","n/e","n/e","n/e","n/e","4756"
"Sweden (SE)","03.11.2022 10:00 - 03.11.2022 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8719","n/e","5609","987","n/e","n/e","n/e","n/e","4988"
"Sweden (SE)","03.11.2022 11:00 - 03.11.2022 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8505","n/e","5692","1037","n/e","n/e","n/e","n/e","5213"
"Sweden (SE)","03.11.2022 12:00 - 03.11.2022 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8266","n/e","5644","1236","n/e","n/e","n/e","n/e","5129"
"Sweden (SE)","03.11.2022 13:00 - 03.11.2022 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8340","n/e","5682","1136","n/e","n/e","n/e","n/e","5057"
"Sweden (SE)","03.11.2022 14:00 - 03.11.2022 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8461","n/e","5692","957","n/e","n/e","n/e","n/e","5082"
"Sweden (SE)","03.11.2022 15:00 - 03.11.2022 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8538","n/e","5692","1008","n/e","n/e","n/e","n/e","5357"
"Sweden (SE)","03.11.2022 16:00 - 03.11.2022 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8481","n/e","5693","1032","n/e","n/e","n/e","n/e","5673"
"Sweden (SE)","03.11.2022 17:00 - 03.11.2022 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8548","n/e","5693","1063","n/e","n/e","n/e","n/e","5855"
"Sweden (SE)","03.11.2022 18:00 - 03.11.2022 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8520","n/e","5694","1059","n/e","n/e","n/e","n/e","5877"
"Sweden (SE)","03.11.2022 19:00 - 03.11.2022 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8174","n/e","5696","1050","n/e","n/e","n/e","n/e","5911"
"Sweden (SE)","03.11.2022 20:00 - 03.11.2022 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7671","n/e","5696","1013","n/e","n/e","n/e","n/e","5705"
"Sweden (SE)","03.11.2022 21:00 - 03.11.2022 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7160","n/e","5696","963","n/e","n/e","n/e","n/e","5596"
"Sweden (SE)","03.11.2022 22:00 - 03.11.2022 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6676","n/e","5697","860","n/e","n/e","n/e","n/e","5552"
"Sweden (SE)","03.11.2022 23:00 - 04.11.2022 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6000","n/e","5697","786","n/e","n/e","n/e","n/e","5434"
"Sweden (SE)","04.11.2022 00:00 - 04.11.2022 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4831","n/e","5698","729","n/e","n/e","n/e","n/e","5416"
"Sweden (SE)","04.11.2022 01:00 - 04.11.2022 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4567","n/e","5699","718","n/e","n/e","n/e","n/e","5500"
"Sweden (SE)","04.11.2022 02:00 - 04.11.2022 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4531","n/e","5699","724","n/e","n/e","n/e","n/e","5379"
"Sweden (SE)","04.11.2022 03:00 - 04.11.2022 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4521","n/e","5699","720","n/e","n/e","n/e","n/e","5394"
"Sweden (SE)","04.11.2022 04:00 - 04.11.2022 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4706","n/e","5699","734","n/e","n/e","n/e","n/e","5491"
"Sweden (SE)","04.11.2022 05:00 - 04.11.2022 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5438","n/e","5698","779","n/e","n/e","n/e","n/e","5579"
"Sweden (SE)","04.11.2022 06:00 - 04.11.2022 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6816","n/e","5700","879","n/e","n/e","n/e","n/e","5599"
"Sweden (SE)","04.11.2022 07:00 - 04.11.2022 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7723","n/e","5700","963","n/e","n/e","n/e","n/e","5547"
"Sweden (SE)","04.11.2022 08:00 - 04.11.2022 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8082","n/e","5700","996","n/e","n/e","n/e","n/e","5542"
"Sweden (SE)","04.11.2022 09:00 - 04.11.2022 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8495","n/e","5699","1010","n/e","n/e","n/e","n/e","5451"
"Sweden (SE)","04.11.2022 10:00 - 04.11.2022 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8454","n/e","5700","999","n/e","n/e","n/e","n/e","5371"
"Sweden (SE)","04.11.2022 11:00 - 04.11.2022 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8409","n/e","5699","990","n/e","n/e","n/e","n/e","5241"
"Sweden (SE)","04.11.2022 12:00 - 04.11.2022 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8337","n/e","5699","999","n/e","n/e","n/e","n/e","5242"
"Sweden (SE)","04.11.2022 13:00 - 04.11.2022 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8215","n/e","5700","1012","n/e","n/e","n/e","n/e","5220"
"Sweden (SE)","04.11.2022 14:00 - 04.11.2022 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7976","n/e","5700","1036","n/e","n/e","n/e","n/e","5247"
"Sweden (SE)","04.11.2022 15:00 - 04.11.2022 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7678","n/e","5701","1023","n/e","n/e","n/e","n/e","5436"
"Sweden (SE)","04.11.2022 16:00 - 04.11.2022 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7704","n/e","5701","1000","n/e","n/e","n/e","n/e","5713"
"Sweden (SE)","04.11.2022 17:00 - 04.11.2022 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7617","n/e","5702","974","n/e","n/e","n/e","n/e","5963"
"Sweden (SE)","04.11.2022 18:00 - 04.11.2022 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7235","n/e","5702","962","n/e","n/e","n/e","n/e","6181"
"Sweden (SE)","04.11.2022 19:00 - 04.11.2022 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7083","n/e","5682","915","n/e","n/e","n/e","n/e","6252"
"Sweden (SE)","04.11.2022 20:00 - 04.11.2022 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6788","n/e","5671","873","n/e","n/e","n/e","n/e","6214"
"Sweden (SE)","04.11.2022 21:00 - 04.11.2022 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6367","n/e","5671","790","n/e","n/e","n/e","n/e","6260"
"Sweden (SE)","04.11.2022 22:00 - 04.11.2022 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6048","n/e","5672","735","n/e","n/e","n/e","n/e","6099"
"Sweden (SE)","04.11.2022 23:00 - 05.11.2022 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5487","n/e","5697","701","n/e","n/e","n/e","n/e","6055"
"Sweden (SE)","05.11.2022 00:00 - 05.11.2022 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5648","n/e","5699","693","n/e","n/e","n/e","n/e","6185"
"Sweden (SE)","05.11.2022 01:00 - 05.11.2022 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5329","n/e","5700","709","n/e","n/e","n/e","n/e","6161"
"Sweden (SE)","05.11.2022 02:00 - 05.11.2022 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5247","n/e","5702","703","n/e","n/e","n/e","n/e","6082"
"Sweden (SE)","05.11.2022 03:00 - 05.11.2022 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5368","n/e","5701","704","n/e","n/e","n/e","n/e","6087"
"Sweden (SE)","05.11.2022 04:00 - 05.11.2022 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5586","n/e","5701","732","n/e","n/e","n/e","n/e","6164"
"Sweden (SE)","05.11.2022 05:00 - 05.11.2022 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5608","n/e","5699","739","n/e","n/e","n/e","n/e","6179"
"Sweden (SE)","05.11.2022 06:00 - 05.11.2022 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6012","n/e","5700","761","n/e","n/e","n/e","n/e","6136"
"Sweden (SE)","05.11.2022 07:00 - 05.11.2022 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6273","n/e","5700","782","n/e","n/e","n/e","n/e","6111"
