"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2024 22:00 - 01.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8981","n/e","6294","997","n/e","0","n/e","n/e","4477"
"Sweden (SE)","01.01.2024 23:00 - 02.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7299","n/e","6294","970","n/e","0","n/e","n/e","4468"
"Sweden (SE)","02.01.2024 00:00 - 02.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6685","n/e","6291","973","n/e","0","n/e","n/e","4658"
"Sweden (SE)","02.01.2024 01:00 - 02.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6315","n/e","6291","978","n/e","0","n/e","n/e","4666"
"Sweden (SE)","02.01.2024 02:00 - 02.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6276","n/e","6291","984","n/e","0","n/e","n/e","4656"
"Sweden (SE)","02.01.2024 03:00 - 02.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6253","n/e","6290","980","n/e","0","n/e","n/e","4635"
"Sweden (SE)","02.01.2024 04:00 - 02.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6546","n/e","6290","980","n/e","0","n/e","n/e","4626"
"Sweden (SE)","02.01.2024 05:00 - 02.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7310","n/e","6289","1009","n/e","0","n/e","n/e","4666"
"Sweden (SE)","02.01.2024 06:00 - 02.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9084","n/e","6290","1066","n/e","0","n/e","n/e","4735"
"Sweden (SE)","02.01.2024 07:00 - 02.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10710","n/e","6290","1114","n/e","0","n/e","n/e","4754"
"Sweden (SE)","02.01.2024 08:00 - 02.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11217","n/e","6292","1122","n/e","0","n/e","n/e","4841"
"Sweden (SE)","02.01.2024 09:00 - 02.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11434","n/e","6294","1103","n/e","3","n/e","n/e","4870"
"Sweden (SE)","02.01.2024 10:00 - 02.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11502","n/e","6292","1100","n/e","8","n/e","n/e","4877"
"Sweden (SE)","02.01.2024 11:00 - 02.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11923","n/e","6292","1101","n/e","12","n/e","n/e","4953"
"Sweden (SE)","02.01.2024 12:00 - 02.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11960","n/e","6291","1084","n/e","12","n/e","n/e","4967"
